,Country,Page Code,League Name,League Division,Link
75,Finland,49,Kakkonen - Group C,3.0,https://www.transfermarkt.com/kakkonen-group-c/startseite/wettbewerb/FI3C
76,France,50,Ligue 1,1.0,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1
77,France,50,Ligue 2,2.0,https://www.transfermarkt.com/ligue-2/startseite/wettbewerb/FR2
78,France,50,Championnat National,3.0,https://www.transfermarkt.com/championnat-national/startseite/wettbewerb/FR3
79,Georgia,53,Crystalbet Erovnuli Liga,1.0,https://www.transfermarkt.com/crystalbet-erovnuli-liga/startseite/wettbewerb/GE1N
80,Georgia,53,Georgian Cup,2.0,https://www.transfermarkt.com/georgian-cup/startseite/wettbewerb/GEPO
81,Germany,40,Bundesliga,1.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
82,Germany,40,2. Bundesliga,2.0,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2
83,Germany,40,3. Liga,3.0,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3
84,Ghana,54,Premier League,1.0,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GHPL
85,Gibraltar,266,Gibraltar National League,1.0,https://www.transfermarkt.com/gibraltar-national-league/startseite/wettbewerb/GI1
86,Greece,56,Super League 1,1.0,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1
87,Greece,56,Super League 2,2.0,https://www.transfermarkt.com/super-league-2/startseite/wettbewerb/GRS2
88,Greece,56,Football League,3.0,https://www.transfermarkt.com/football-league/startseite/wettbewerb/GR2
89,Guatemala,58,Liga Nacional Apertura,1.0,https://www.transfermarkt.com/liga-nacional-apertura/startseite/wettbewerb/GU1A
90,Guatemala,58,Liga Nacional Clausura,2.0,https://www.transfermarkt.com/liga-nacional-clausura/startseite/wettbewerb/GU1C
91,Hongkong,218,Hong Kong PL,1.0,https://www.transfermarkt.com/hong-kong-premier-league/startseite/wettbewerb/HGKG
92,Hungary,178,NB I.,1.0,https://www.transfermarkt.com/nemzeti-bajnoksag/startseite/wettbewerb/UNG1
93,Hungary,178,NB II.,2.0,https://www.transfermarkt.com/nemzeti-bajnoksag-ii-/startseite/wettbewerb/UN2
94,Hungary,178,Magyar Kupa,3.0,https://www.transfermarkt.com/magyar-kupa/startseite/wettbewerb/UNGP
95,Iceland,73,Pepsi Max deild,1.0,https://www.transfermarkt.com/pepsi-max-deild/startseite/wettbewerb/IS1
96,Iceland,73,Lengjudeild,2.0,https://www.transfermarkt.com/lengjudeild/startseite/wettbewerb/IS2
97,Iceland,73,Mjólkurbikar,3.0,https://www.transfermarkt.com/mjolkurbikarinn/startseite/wettbewerb/ISP
98,India,67,Indian Super League,1.0,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1
99,India,67,I-League,2.0,https://www.transfermarkt.com/i-league/startseite/wettbewerb/INIL
100,India,67,I-League 2nd Division,3.0,https://www.transfermarkt.com/i-league-2nd-division/startseite/wettbewerb/IND2
101,Indonesia,68,Liga 1,1.0,https://www.transfermarkt.com/shopee-liga-1/startseite/wettbewerb/IN1L
